Trial Number,Left ,Right,Ratio,Correct
1,25,16,1.25,l
2,18,20,1.1,r
3,13,26,2,r
4,19,19,1,l
5,27,9,3,l
6,16,25,1.25,r
7,20,18,1.1,l
8,26,13,2,l
9 ,19,19,1,r
10,9,27,3,r
1,25,16,1.25,l
2,18,20,1.1,r
3,13,26,2,r
4,19,19,1,l
5,27,9,3,l
6,16,25,1.25,r
7,20,18,1.1,l
8,26,13,2,l
9 ,19,19,1,r
10,9,27,3,r
1,25,16,1.25,l
2,18,20,1.1,r
3,13,26,2,r
4,19,19,1,l
5,27,9,3,l
6,16,25,1.25,r
7,20,18,1.1,l
8,26,13,2,l
9 ,19,19,1,r
10,9,27,3,r
1,25,16,1.25,l
2,18,20,1.1,r
3,13,26,2,r
4,19,19,1,l
5,27,9,3,l
6,16,25,1.25,r
7,20,18,1.1,l
8,26,13,2,l
9 ,19,19,1,r
10,9,27,3,r
1,25,16,1.25,l
2,18,20,1.1,r
3,13,26,2,r
4,19,19,1,l
5,27,9,3,l
6,16,25,1.25,r
7,20,18,1.1,l
8,26,13,2,l
9 ,19,19,1,r
10,9,27,3,r
1,25,16,1.25,l
2,18,20,1.1,r
3,13,26,2,r
4,19,19,1,l
5,27,9,3,l
6,16,25,1.25,r
7,20,18,1.1,l
8,26,13,2,l
9 ,19,19,1,r
10,9,27,3,r
1,25,16,1.25,l
2,18,20,1.1,r
3,13,26,2,r
4,19,19,1,l
5,27,9,3,l
6,16,25,1.25,r
7,20,18,1.1,l
8,26,13,2,l
9 ,19,19,1,r
10,9,27,3,r
1,25,16,1.25,l
2,18,20,1.1,r
3,13,26,2,r
4,19,19,1,l
5,27,9,3,l
6,16,25,1.25,r
7,20,18,1.1,l
8,26,13,2,l
9 ,19,19,1,r
10,9,27,3,r
1,25,16,1.25,l
2,18,20,1.1,r
3,13,26,2,r
4,19,19,1,l
5,27,9,3,l
6,16,25,1.25,r
7,20,18,1.1,l
8,26,13,2,l
9 ,19,19,1,r
10,9,27,3,r
1,25,16,1.25,l
2,18,20,1.1,r
3,13,26,2,r
4,19,19,1,l
5,27,9,3,l
6,16,25,1.25,r
7,20,18,1.1,l
8,26,13,2,l
9 ,19,19,1,r
10,9,27,3,r